id,employee_id,reason,leave_type,start_date,end_date,status,hours
72,990009,,2,2023-06-14,2023-06-14,approved,2
73,990017,,2,2023-06-14,2023-06-14,approved,6
74,990013,,2,2023-06-19,2023-06-19,approved,6
75,990011,,1,2023-06-29,2023-06-29,approved,6
76,990015,,0,2023-07-01,2023-07-01,approved,8
77,990003,,1,2023-07-02,2023-07-02,approved,7
78,990013,,1,2023-07-02,2023-07-02,approved,5
79,990001,,2,2023-07-13,2023-07-13,approved,8
80,990017,,1,2023-07-13,2023-07-13,approved,5
81,990003,,2,2023-07-22,2023-07-22,approved,7
82,990001,,2,2023-07-22,2023-07-22,approved,4
83,990002,,2,2023-07-25,2023-07-25,approved,7
84,990004,,2,2023-07-31,2023-07-31,approved,4
85,990015,,1,2023-07-31,2023-07-31,approved,8
86,990005,,0,2023-08-07,2023-08-07,approved,2
87,990015,,2,2023-08-11,2023-08-11,approved,2
88,990001,,2,2023-10-11,2023-10-11,approved,2
89,990010,,1,2023-11-07,2023-11-07,approved,3
90,990010,,1,2023-12-01,2023-12-01,approved,4
91,990011,,2,2023-12-31,2023-12-31,approved,5
92,990013,,1,2024-01-12,2024-01-12,approved,8
93,990018,,2,2024-02-17,2024-02-17,approved,8
94,990021,,1,2024-03-14,2024-03-14,approved,6
95,990018,,1,2024-04-18,2024-04-18,approved,6
96,990026,,1,2024-04-24,2024-04-24,approved,5
97,990023,,2,2024-05-19,2024-05-19,approved,2
98,990011,,2,2024-05-26,2024-05-26,approved,6
99,990011,,1,2024-07-06,2024-07-06,approved,2
100,990018,,2,2024-07-23,2024-07-23,approved,4
101,990005,,2,2024-08-07,2024-08-07,approved,3
102,990020,,0,2024-08-09,2024-08-09,approved,6
103,990026,,1,2024-08-29,2024-08-29,approved,8
104,990021,,1,2024-09-10,2024-09-10,approved,6
105,990003,,2,2024-09-24,2024-09-24,approved,7
106,990007,,2,2024-10-18,2024-10-18,approved,6
107,990023,,2,2024-11-04,2024-11-04,approved,3
108,990005,,2,2024-11-05,2024-11-05,approved,2
109,990023,,1,2024-11-10,2024-11-10,approved,7
110,990020,,0,2024-11-13,2024-11-13,approved,5
111,990022,,2,2024-11-25,2024-11-25,approved,5
112,990006,,0,2024-12-10,2024-12-10,approved,7
113,990015,,2,2025-01-08,2025-01-08,approved,3
114,990002,,2,2025-01-14,2025-01-14,approved,6
115,990027,,2,2025-01-14,2025-01-14,approved,8
116,990005,,2,2025-01-15,2025-01-15,approved,4
117,990003,,2,2025-01-19,2025-01-19,approved,8
118,990017,,2,2025-01-20,2025-01-20,approved,6
119,990007,,0,2025-01-22,2025-01-22,approved,4
120,990005,,2,2025-01-25,2025-01-25,approved,4
121,990009,,2,2025-01-27,2025-01-27,approved,2
122,990007,,1,2025-01-31,2025-01-31,approved,8
123,990019,,2,2025-02-05,2025-02-05,approved,5
124,990013,,2,2025-02-05,2025-02-05,approved,3
125,990005,,0,2025-02-06,2025-02-06,approved,6
126,990013,,1,2025-02-11,2025-02-11,approved,6
127,990005,,2,2025-03-09,2025-03-09,approved,6
128,990014,,1,2025-03-10,2025-03-10,approved,3
129,990017,,1,2025-03-19,2025-03-19,approved,4
130,990010,,1,2025-04-02,2025-04-02,approved,5
131,990020,,2,2025-04-08,2025-04-08,approved,3
132,990017,,2,2025-04-18,2025-04-18,approved,6
133,990021,,2,2025-04-20,2025-04-20,approved,7
134,990022,,2,2025-04-25,2025-04-25,approved,5
135,990017,,1,2025-04-30,2025-04-30,approved,2
136,990017,,2,2025-05-09,2025-05-09,approved,6
137,990013,,0,2025-05-16,2025-05-16,approved,8
138,990020,,2,2025-05-29,2025-05-29,approved,4
139,990026,,2,2025-06-03,2025-06-03,approved,3
140,990020,,1,2025-06-04,2025-06-04,approved,8
141,990021,,2,2025-06-04,2025-06-04,approved,8
142,990005,,2,2025-06-14,2025-06-14,approved,3
143,990016,,1,2025-06-27,2025-06-27,approved,6
144,990025,,2,2025-06-30,2025-06-30,approved,8
145,990008,,1,2025-07-07,2025-07-07,approved,7
146,990014,,0,2025-07-10,2025-07-10,approved,5
147,990017,,2,2025-07-15,2025-07-15,approved,4
148,990012,,1,2025-07-16,2025-07-16,approved,2
149,990002,,1,2025-07-16,2025-07-16,approved,7
150,990007,,0,2025-07-26,2025-07-26,approved,2
