id,employee_id,skill_id,score,created_at
87,990006,19,3,2021-11-09
88,990006,27,3,2021-11-09
89,990006,51,2,2021-11-09
90,990006,52,3,2021-11-09
91,990006,54,2,2021-11-09
92,990007,29,2,2022-02-18
93,990007,33,3,2022-02-18
94,990007,35,3,2022-02-18
95,990007,36,2,2022-02-18
96,990007,37,3,2022-02-18
97,990007,38,4,2022-02-18
98,990009,1,3,2021-12-19
99,990009,2,4,2021-12-19
100,990009,6,3,2021-12-19
101,990009,7,2,2021-12-19
102,990009,8,2,2021-12-19
103,990009,9,3,2021-12-19
104,990009,10,2,2021-12-19
105,990009,11,2,2021-12-19
106,990009,13,4,2021-12-19
107,990009,15,2,2021-12-19
108,990009,16,3,2021-12-19
109,990009,17,4,2021-12-19
110,990009,18,2,2021-12-19
111,990009,19,3,2021-12-19
112,990009,27,2,2021-12-19
113,990009,51,3,2021-12-19
114,990010,1,4,2021-12-19
115,990010,2,3,2021-12-19
116,990010,10,3,2021-12-19
117,990010,11,4,2021-12-19
118,990010,13,4,2021-12-19
119,990010,15,4,2021-12-19
120,990010,16,3,2021-12-19
121,990010,19,2,2021-12-19
122,990010,27,3,2021-12-19
123,990010,51,3,2021-12-19
124,990011,1,3,2022-11-01
125,990011,2,2,2022-11-01
126,990011,10,4,2022-11-01
127,990011,11,2,2022-11-01
128,990011,13,4,2022-11-01
129,990011,14,4,2022-11-01
130,990011,15,3,2022-11-01
131,990011,16,3,2022-11-01
132,990011,19,4,2022-11-01
133,990011,27,3,2022-11-01
134,990011,51,2,2022-11-01
135,990012,1,2,2022-11-01
136,990012,2,2,2022-11-01
137,990012,6,3,2022-11-01
138,990012,7,3,2022-11-01
139,990012,8,3,2022-11-01
140,990012,9,3,2022-11-01
141,990012,10,2,2022-11-01
142,990012,11,4,2022-11-01
143,990012,13,4,2022-11-01
144,990012,15,3,2022-11-01
145,990012,16,2,2022-11-01
146,990012,19,4,2022-11-01
147,990012,27,2,2022-11-01
148,990012,51,3,2022-11-01
149,990013,4,3,2022-12-09
150,990013,5,2,2022-12-09
151,990013,15,3,2022-12-09
152,990013,19,3,2022-12-09
153,990013,20,2,2022-12-09
154,990013,51,2,2022-12-09
155,990014,17,3,2022-07-01
156,990014,28,4,2022-07-01
157,990014,29,2,2022-07-01
158,990014,30,2,2022-07-01
159,990014,31,2,2022-07-01
160,990014,32,2,2022-07-01
161,990014,35,2,2022-07-01
162,990014,37,4,2022-07-01
163,990014,38,4,2022-07-01
164,990014,42,3,2022-07-01
165,990015,28,3,2023-03-09
166,990015,29,4,2023-03-09
167,990015,32,4,2023-03-09
168,990015,33,3,2023-03-09
169,990015,35,2,2023-03-09
170,990015,36,3,2023-03-09
171,990015,38,3,2023-03-09
172,990015,45,3,2023-03-09
173,990015,47,3,2023-03-09
174,990015,49,4,2023-03-09
175,990015,51,2,2023-03-09
176,990015,52,2,2023-03-09
177,990015,53,2,2023-03-09
178,990015,54,2,2023-03-09
179,990015,58,4,2023-03-09
180,990015,59,4,2023-03-09
181,990016,28,4,2023-03-09
182,990016,29,3,2023-03-09
183,990016,32,3,2023-03-09
184,990016,33,4,2023-03-09
185,990016,35,4,2023-03-09
186,990016,36,3,2023-03-09
187,990016,38,3,2023-03-09
188,990016,45,3,2023-03-09
189,990016,47,3,2023-03-09
190,990016,49,2,2023-03-09
191,990016,51,4,2023-03-09
192,990016,52,2,2023-03-09
193,990016,53,2,2023-03-09
194,990016,54,2,2023-03-09
195,990016,58,3,2023-03-09
196,990016,59,4,2023-03-09
197,990017,1,3,2023-05-01
198,990017,3,2,2023-05-01
199,990017,8,2,2023-05-01
200,990017,17,2,2023-05-01
201,990017,26,2,2023-05-01
202,990017,27,4,2023-05-01
203,990017,28,3,2023-05-01
204,990017,29,2,2023-05-01
205,990017,30,3,2023-05-01
206,990017,31,3,2023-05-01
207,990017,33,3,2023-05-01
208,990017,34,2,2023-05-01
209,990017,35,3,2023-05-01
210,990017,36,4,2023-05-01
211,990017,37,4,2023-05-01
212,990017,38,2,2023-05-01
213,990017,59,3,2023-05-01
214,990017,62,4,2023-05-01
215,990018,17,2,2024-02-28
216,990018,35,2,2024-02-28
217,990018,39,3,2024-02-28
218,990018,40,3,2024-02-28
219,990018,41,2,2024-02-28
220,990018,42,3,2024-02-28
221,990018,43,4,2024-02-28
222,990019,17,2,2024-02-28
223,990019,26,2,2024-02-28
224,990019,28,4,2024-02-28
225,990019,29,4,2024-02-28
226,990019,30,4,2024-02-28
227,990019,31,3,2024-02-28
228,990019,32,4,2024-02-28
229,990019,33,3,2024-02-28
230,990019,34,2,2024-02-28
231,990019,35,2,2024-02-28
232,990019,36,2,2024-02-28
233,990019,37,3,2024-02-28
234,990019,38,4,2024-02-28
235,990019,42,2,2024-02-28
236,990019,58,3,2024-02-28
237,990019,59,4,2024-02-28
238,990020,28,3,2024-06-18
239,990020,32,2,2024-06-18
240,990020,35,3,2024-06-18
241,990020,36,4,2024-06-18
242,990020,38,2,2024-06-18
243,990020,47,2,2024-06-18
244,990020,49,2,2024-06-18
245,990020,51,4,2024-06-18
246,990020,52,4,2024-06-18
247,990020,53,2,2024-06-18
248,990024,28,3,2024-06-18
249,990024,29,2,2024-06-18
250,990024,30,2,2024-06-18
251,990024,32,3,2024-06-18
252,990024,33,4,2024-06-18
253,990024,35,3,2024-06-18
254,990024,36,4,2024-06-18
255,990024,37,3,2024-06-18
256,990024,38,2,2024-06-18
257,990024,58,2,2024-06-18
258,990024,59,4,2024-06-18
259,990025,1,4,2024-06-18
260,990025,3,2,2024-06-18
261,990025,8,2,2024-06-18
262,990025,17,3,2024-06-18
263,990025,26,2,2024-06-18
264,990025,27,3,2024-06-18
265,990025,28,4,2024-06-18
266,990025,29,4,2024-06-18
267,990025,30,4,2024-06-18
268,990025,31,4,2024-06-18
269,990025,33,2,2024-06-18
270,990025,34,3,2024-06-18
271,990025,35,4,2024-06-18
272,990025,36,4,2024-06-18
273,990025,37,2,2024-06-18
274,990025,38,2,2024-06-18
275,990025,59,3,2024-06-18
276,990025,62,3,2024-06-18
277,990026,32,4,2024-06-18
278,990026,33,3,2024-06-18
279,990026,44,4,2024-06-18
280,990026,45,3,2024-06-18
281,990026,46,4,2024-06-18
282,990026,47,3,2024-06-18
283,990026,48,2,2024-06-18
284,990026,58,2,2024-06-18
285,990027,4,2,2024-08-01
286,990027,5,4,2024-08-01
287,990027,15,3,2024-08-01
288,990027,18,4,2024-08-01
289,990027,19,4,2024-08-01
290,990027,20,3,2024-08-01
291,990027,51,3,2024-08-01
292,990028,17,4,2025-05-17
293,990028,35,4,2025-05-17
294,990028,39,2,2025-05-17
295,990028,40,4,2025-05-17
296,990028,41,3,2025-05-17
297,990028,42,2,2025-05-17
298,990028,43,4,2025-05-17
299,990004,17,2,2021-06-06
300,990004,21,4,2021-06-06
301,990004,22,3,2021-06-06
302,990004,23,4,2021-06-06
303,990004,24,4,2021-06-06
304,990004,25,3,2021-06-06
305,990004,28,3,2021-06-06
306,990004,30,4,2021-06-06
307,990004,32,4,2021-06-06
308,990004,35,3,2021-06-06
309,990004,36,4,2021-06-06
310,990004,49,3,2021-06-06
311,990004,58,2,2021-06-06
312,990004,59,4,2021-06-06
313,990008,17,3,2022-02-18
314,990008,35,4,2022-02-18
315,990008,39,4,2022-02-18
316,990008,40,4,2022-02-18
317,990008,41,3,2022-02-18
318,990008,42,3,2022-02-18
319,990008,43,2,2022-02-18
320,990008,21,4,2022-02-18
321,990008,22,4,2022-02-18
322,990008,23,4,2022-02-18
323,990008,24,4,2022-02-18
324,990008,25,4,2022-02-18
325,990021,17,3,2024-06-18
326,990021,21,3,2024-06-18
327,990021,25,2,2024-06-18
328,990021,28,4,2024-06-18
329,990021,30,4,2024-06-18
330,990021,35,3,2024-06-18
331,990021,49,3,2024-06-18
332,990021,59,3,2024-06-18
333,990022,21,4,2024-06-18
334,990022,22,4,2024-06-18
335,990022,23,4,2024-06-18
336,990022,24,5,2024-06-18
337,990022,25,3,2024-06-18
338,990022,30,3,2024-06-18
339,990022,32,2,2024-06-18
340,990022,35,2,2024-06-18
341,990022,36,3,2024-06-18
342,990022,47,5,2024-06-18
343,990022,49,5,2024-06-18
344,990022,58,4,2024-06-18
345,990023,17,3,2024-06-18
346,990023,22,2,2024-06-18
347,990023,24,2,2024-06-18
348,990023,25,3,2024-06-18
349,990023,28,4,2024-06-18
350,990023,30,4,2024-06-18
351,990023,35,3,2024-06-18
352,990023,49,2,2024-06-18
