id,employee_id,clock_type,building,start_date,end_date,hours
80,990026,2,Building A,2024-10-31,2024-10-31,2
81,990013,2,Building A,2024-11-01,2024-11-01,1
82,990023,2,Building A,2024-11-07,2024-11-07,2
83,990019,2,Building A,2024-11-09,2024-11-09,3
84,990020,2,Building A,2024-12-02,2024-12-02,1
85,990008,2,Building A,2024-12-04,2024-12-04,3
86,990019,2,Building A,2024-12-08,2024-12-08,2
87,990009,2,Building A,2024-12-10,2024-12-10,3
88,990008,2,Building A,2024-12-24,2024-12-24,2
89,990019,2,Building A,2024-12-26,2024-12-26,3
90,990008,2,Building A,2024-12-31,2024-12-31,2
91,990002,2,Building A,2025-01-04,2025-01-04,1
92,990016,2,Building A,2025-01-25,2025-01-25,2
93,990025,2,Building A,2025-01-26,2025-01-26,1
94,990020,2,Building A,2025-02-02,2025-02-02,2
95,990018,2,Building A,2025-02-13,2025-02-13,3
96,990003,2,Building A,2025-02-20,2025-02-20,4
97,990018,2,Building A,2025-02-25,2025-02-25,3
98,990023,2,Building A,2025-03-02,2025-03-02,3
99,990018,2,Building A,2025-03-20,2025-03-20,1
100,990018,2,Building A,2025-03-25,2025-03-25,3
101,990023,2,Building A,2025-03-31,2025-03-31,3
102,990013,2,Building A,2025-04-02,2025-04-02,4
103,990013,2,Building A,2025-04-11,2025-04-11,2
104,990013,2,Building A,2025-04-18,2025-04-18,4
105,990002,2,Building A,2025-04-28,2025-04-28,1
106,990020,2,Building A,2025-04-30,2025-04-30,4
107,990015,2,Building A,2025-05-18,2025-05-18,1
108,990023,2,Building A,2025-05-21,2025-05-21,4
109,990019,2,Building A,2025-05-25,2025-05-25,3
110,990023,2,Building A,2025-06-04,2025-06-04,2
111,990003,2,Building A,2025-06-15,2025-06-15,1
112,990021,2,Building A,2025-06-15,2025-06-15,2
113,990016,2,Building A,2025-06-21,2025-06-21,4
114,990003,2,Building A,2025-07-09,2025-07-09,4
115,990021,2,Building A,2025-07-14,2025-07-14,4
116,990025,2,Building A,2025-07-16,2025-07-16,3
117,990003,2,Building A,2025-07-24,2025-07-24,3
118,990021,2,Building A,2025-07-28,2025-07-28,4
